num_users,num_trans,malicious_users,good_users,good_successes,good_transacts,strategy,success_rate,mal_percent,algorithm,trace
100.0,1000.0,20.0,80.0,752.0,800.0,collective,94.0,20,EigenTrust,trace_10101
100.0,1000.0,20.0,80.0,770.0,800.0,collective,96.25,20,SocialTrust,trace_10101
100.0,1000.0,20.0,80.0,771.0,800.0,collective,96.375,20,WhatsTrust+URL,trace_10101
100.0,1000.0,40.0,60.0,551.0,580.0,collective,95.0,40,EigenTrust,trace_10102
100.0,1000.0,40.0,60.0,560.0,580.0,collective,96.55172413793103,40,SocialTrust,trace_10102
100.0,1000.0,40.0,60.0,555.0,580.0,collective,95.6896551724138,40,WhatsTrust+URL,trace_10102
100.0,1000.0,60.0,40.0,383.0,383.0,collective,100.0,60,EigenTrust,trace_10103
100.0,1000.0,60.0,40.0,369.0,383.0,collective,96.34464751958225,60,SocialTrust,trace_10103
100.0,1000.0,60.0,40.0,365.0,383.0,collective,95.30026109660574,60,WhatsTrust+URL,trace_10103
100.0,1500.0,20.0,80.0,1172.0,1202.0,collective,97.50415973377704,20,EigenTrust,trace_10151
100.0,1500.0,20.0,80.0,1154.0,1202.0,collective,96.00665557404326,20,WhatsTrust+URL,trace_10151
100.0,1500.0,40.0,60.0,815.0,908.0,collective,89.75770925110133,40,EigenTrust,trace_10152
100.0,1500.0,40.0,60.0,880.0,908.0,collective,96.91629955947137,40,WhatsTrust+URL,trace_10152
100.0,1500.0,60.0,40.0,586.0,609.0,collective,96.2233169129721,60,EigenTrust,trace_10153
100.0,1500.0,60.0,40.0,604.0,609.0,collective,99.17898193760263,60,WhatsTrust+URL,trace_10153
100.0,2000.0,20.0,80.0,1540.0,1587.0,collective,97.03843730308759,20,EigenTrust,trace_10201
100.0,2000.0,20.0,80.0,1522.0,1587.0,naive,95.9042218021424,20,SocialTrust,trace_10201
100.0,2000.0,20.0,80.0,1535.0,1587.0,collective,96.72337744171392,20,WhatsTrust+URL,trace_10201
100.0,2000.0,40.0,60.0,1064.0,1192.0,collective,89.26174496644296,40,EigenTrust,trace_10202
100.0,2000.0,40.0,60.0,1154.0,1192.0,naive,96.81208053691275,40,SocialTrust,trace_10202
100.0,2000.0,40.0,60.0,1156.0,1192.0,collective,96.97986577181209,40,WhatsTrust+URL,trace_10202
100.0,2000.0,60.0,40.0,760.0,828.0,collective,91.78743961352657,60,EigenTrust,trace_10203
100.0,2000.0,60.0,40.0,801.0,828.0,naive,96.73913043478261,60,SocialTrust,trace_10203
100.0,2000.0,60.0,40.0,816.0,828.0,collective,98.55072463768117,60,WhatsTrust+URL,trace_10203
100.0,2500.0,20.0,80.0,2015.0,2020.0,collective,99.75247524752476,20,EigenTrust,trace_10251
100.0,2500.0,40.0,60.0,1416.0,1477.0,collective,95.87000677048071,40,EigenTrust,trace_10252
100.0,2500.0,60.0,40.0,952.0,999.0,collective,95.29529529529529,60,EigenTrust,trace_10253
100.0,3000.0,20.0,80.0,2320.0,2400.0,collective,96.66666666666667,20,EigenTrust,trace_10301
100.0,3000.0,40.0,60.0,1775.0,1796.0,collective,98.83073496659243,40,EigenTrust,trace_10302
100.0,3000.0,60.0,40.0,1166.0,1203.0,collective,96.92435577722361,60,EigenTrust,trace_10303
100.0,3500.0,20.0,80.0,2751.0,2759.0,collective,99.71003986951794,20,EigenTrust,trace_10351
100.0,3500.0,40.0,60.0,1947.0,2055.0,collective,94.74452554744526,40,EigenTrust,trace_10352
100.0,3500.0,60.0,40.0,1206.0,1390.0,collective,86.76258992805755,60,EigenTrust,trace_10353
